MRD-LX3|https://www.gsmarena.com/huawei_y6_(2019)-9620.php|Huawei Y6 (2019)|6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)|720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)
SM-A115M|https://www.gsmarena.com/samsung_galaxy_a11-10132.php|Samsung Galaxy A11|6.4 inches, 100.5 cm2 (~81.6% screen-to-body ratio)|720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)
JKM-LX3|https://www.gsmarena.com/huawei_y9_(2019)-9324.php|Huawei Y9 (2019)|6.5 inches, 103.7 cm2 (~82.8% screen-to-body ratio)|1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)
DRA-LX3|https://www.gsmarena.com/huawei_y5_prime_(2018)-9209.php|Huawei Y5 Prime (2018)|5.45 inches, 76.7 cm2 (~73.8% screen-to-body ratio)|720 x 1440 pixels, 18:9 ratio (~295 ppi density)
Moto E6S|https://www.gsmarena.com/motorola_moto_e6s_(2020)-10135.php|Motorola Moto E6s (2020)|6.1 inches, 91.3 cm2 (~80.4% screen-to-body ratio)|720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)
LM-X210|https://www.gsmarena.com/lg_aristo_2-9047.php|LG Aristo 2|5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~294 ppi density)
Moto One Macro|https://www.gsmarena.com/motorola_one_macro-9900.php|Motorola One Macro|6.2 inches, 96.7 cm2 (~81.3% screen-to-body ratio)|720 x 1520 pixels, 19:9 ratio (~270 ppi density)
SM-A307G|https://www.gsmarena.com/samsung_galaxy_a30s-9796.php|Samsung Galaxy A30s|6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)|720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)
SM-A305G|https://www.gsmarena.com/samsung_galaxy_a30-9579.php|Samsung Galaxy A30|6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)|1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)
SM-J701M|https://www.gsmarena.com/samsung_galaxy_j7_nxt-8785.php|Samsung Galaxy J7 Nxt|5.5 inches, 83.4 cm2 (~69.6% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~267 ppi density)
SM-A125M|https://www.gsmarena.com/samsung_galaxy_a12-10604.php|Samsung Galaxy A12|6.5 inches, 102.0 cm2 (~82.1% screen-to-body ratio)|720 x 1600 pixels, 20:9 ratio (~270 ppi density)
moto E5 play|https://www.gsmarena.com/motorola_moto_e5_play-9175.php|Motorola Moto E5 Play|5.2 inches, 74.5 cm2 (~66.7% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~282 ppi density)
Redmi 7A|https://www.gsmarena.com/xiaomi_redmi_7a-9716.php|Xiaomi Redmi 7A|5.45 inches, 76.7 cm2 (~74.4% screen-to-body ratio)|720 x 1440 pixels, 18:9 ratio (~295 ppi density)
SM-J600G|https://www.gsmarena.com/samsung_galaxy_j6-9203.php|Samsung Galaxy J6|5.6 inches, 80.1 cm2 (~76.5% screen-to-body ratio)|720 x 1480 pixels, 18.5:9 ratio (~293 ppi density)
SM-A217M|https://www.gsmarena.com/samsung_galaxy_a21s-10239.php|Samsung Galaxy A21s|6.5 inches, 102.0 cm2 (~82.8% screen-to-body ratio)|720 x 1600 pixels, 20:9 ratio (~270 ppi density)
Moto E6 Plus|https://www.gsmarena.com/motorola_moto_e6_plus-9831.php|Motorola Moto E6 Plus|6.1 inches, 91.3 cm2 (~80.3% screen-to-body ratio)|720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)
Moto G7 Play|https://www.gsmarena.com/motorola_moto_g7_play-9532.php|Motorola Moto G7 Play|5.7 inches, 81.4 cm2 (~77.3% screen-to-body ratio)|720 x 1512 pixels, 19:9 ratio (~294 ppi density)
SM-J415G|https://www.gsmarena.com/samsung_galaxy_j4+-9335.php|Samsung Galaxy J4+|6.0 inches, 91.4 cm2 (~73.6% screen-to-body ratio)|720 x 1480 pixels, 18.5:9 ratio (~274 ppi density)
Blade A3 Lite|https://www.gsmarena.com/oppo_a37-8162.php|Oppo A37|5.0 inches, 68.9 cm2 (~67.8% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~294 ppi density)
SM-A505G|https://www.gsmarena.com/samsung_galaxy_a50-9554.php|Samsung Galaxy A50|6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)|1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)
MAR-LX3A|https://www.gsmarena.com/huawei_p30_lite-9545.php|Huawei P30 lite|6.15 inches, 93.6 cm2 (~84.2% screen-to-body ratio)|1080 x 2312 pixels (~415 ppi density)
Moto C|https://www.gsmarena.com/motorola_moto_c_plus-8646.php|Motorola Moto C Plus|5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~294 ppi density)
SM-A715F|https://www.gsmarena.com/samsung_galaxy_a71-9995.php|Samsung Galaxy A71|6.7 inches, 108.4 cm2 (~87.2% screen-to-body ratio)|1080 x 2400 pixels, 20:9 ratio (~393 ppi density)
SM-G975F|https://www.gsmarena.com/samsung_galaxy_s10+-9535.php|Samsung Galaxy S10+|6.4 inches, 103.8 cm2 (~88.9% screen-to-body ratio)|1440 x 3040 pixels, 19:9 ratio (~522 ppi density)
SM-J260MU|https://www.gsmarena.com/samsung_galaxy_j2_core_(2020)-10208.php|Samsung Galaxy J2 Core (2020)|5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)|540 x 960 pixels, 16:9 ratio (~220 ppi density)
SM-A025M|https://www.gsmarena.com/samsung_galaxy_a02s-10603.php|Samsung Galaxy A02s|6.5 inches, 102.0 cm2 (~81.8% screen-to-body ratio)|720 x 1600 pixels, 20:9 ratio (~270 ppi density)
